                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.30615,                0.30736,                   0.83,                0.99956,                      1,                  0.995,                0.96495,                0.29039,                0.26326,                0.79444,              0.0009902,              0.0009902,              0.0009902
                     53,                0.31601,                0.30481,                0.82531,                0.99964,                      1,                  0.995,                0.96881,                0.26951,                0.25692,                0.79122,              0.0009704,              0.0009704,              0.0009704
                     54,                0.33142,                0.32374,                0.86606,                0.99961,                      1,                  0.995,                0.97118,                 0.2708,                0.26607,                0.78977,              0.0009506,              0.0009506,              0.0009506
                     55,                0.31019,                0.29642,                0.83075,                0.99959,                      1,                  0.995,                0.96214,                0.28773,                0.26754,                0.79136,              0.0009308,              0.0009308,              0.0009308
                     56,                0.32133,                0.30836,                0.83961,                0.99807,                      1,                  0.995,                 0.9672,                0.26392,                0.26879,                0.79121,               0.000911,               0.000911,               0.000911
                     57,                0.31402,                0.30813,                0.83968,                0.99267,                      1,                  0.995,                0.96025,                0.29273,                0.28742,                0.79803,              0.0008912,              0.0008912,              0.0008912
                     58,                0.31088,                0.30481,                0.83932,                0.99146,                      1,                  0.995,                 0.9686,                0.27237,                0.28159,                0.79459,              0.0008714,              0.0008714,              0.0008714
                     59,                0.32215,                0.30173,                0.84154,                0.98335,                      1,                0.99485,                0.97082,                0.26149,                0.26998,                0.79193,              0.0008516,              0.0008516,              0.0008516
                     60,                0.30903,                0.28627,                0.83456,                0.97772,                      1,                0.99471,                0.97191,                0.24673,                0.25878,                0.78895,              0.0008318,              0.0008318,              0.0008318
                     61,                0.32002,                0.29349,                0.84698,                 0.9876,                0.99265,                0.99493,                0.96745,                0.25783,                0.27467,                0.78878,               0.000812,               0.000812,               0.000812
                     62,                0.29924,                0.29004,                0.84433,                0.99893,                      1,                  0.995,                0.95644,                0.29113,                0.27161,                0.79498,              0.0007922,              0.0007922,              0.0007922
                     63,                0.29188,                0.28442,                0.83624,                0.99835,                      1,                  0.995,                0.97763,                0.25027,                0.25709,                0.78806,              0.0007724,              0.0007724,              0.0007724
                     64,                0.27503,                0.28264,                0.83507,                0.99215,                      1,                  0.995,                0.97179,                0.26079,                0.25488,                0.79067,              0.0007526,              0.0007526,              0.0007526
                     65,                0.32068,                0.29112,                   0.85,                0.99211,                      1,                0.99493,                0.96576,                0.27461,                0.25936,                0.79286,              0.0007328,              0.0007328,              0.0007328
                     66,                0.29792,                0.29101,                0.84959,                0.99735,                      1,                  0.995,                0.97949,                0.25399,                0.24516,                0.79067,               0.000713,               0.000713,               0.000713
                     67,                0.28133,                0.27792,                 0.8323,                0.99842,                      1,                  0.995,                0.97441,                0.25681,                0.23963,                0.79171,              0.0006932,              0.0006932,              0.0006932
                     68,                0.29307,                0.28473,                0.83399,                0.99871,                      1,                  0.995,                0.97842,                0.24532,                0.23434,                0.78716,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.2759,                0.27156,                0.83318,                0.99909,                      1,                  0.995,                0.97943,                0.24209,                0.22454,                0.78604,              0.0006536,              0.0006536,              0.0006536
                     70,                0.29105,                0.27135,                0.84769,                0.99931,                      1,                  0.995,                0.98133,                0.23173,                0.21578,                0.78616,              0.0006338,              0.0006338,              0.0006338
                     71,                0.27426,                0.26223,                0.82328,                0.99939,                      1,                  0.995,                0.97651,                0.23333,                0.21523,                0.78443,               0.000614,               0.000614,               0.000614
                     72,                0.25762,                0.26195,                0.83065,                 0.9997,                      1,                  0.995,                0.96385,                0.26894,                0.22371,                0.79017,              0.0005942,              0.0005942,              0.0005942
                     73,                0.27969,                0.25892,                 0.8317,                0.99971,                      1,                  0.995,                0.97668,                 0.2407,                0.20829,                0.78569,              0.0005744,              0.0005744,              0.0005744
                     74,                0.26595,                0.24902,                 0.8214,                0.99977,                      1,                  0.995,                 0.9866,                0.21982,                0.20506,                 0.7842,              0.0005546,              0.0005546,              0.0005546
                     75,                0.27198,                0.25906,                0.83063,                0.99983,                      1,                  0.995,                0.98048,                0.22443,                0.21737,                0.78378,              0.0005348,              0.0005348,              0.0005348
                     76,                0.26821,                0.25259,                0.82871,                0.99975,                      1,                  0.995,                0.98748,                0.22167,                0.20153,                0.78425,               0.000515,               0.000515,               0.000515
                     77,                0.26732,                0.24671,                0.83455,                0.99971,                      1,                  0.995,                0.98483,                0.24658,                0.20325,                0.78893,              0.0004952,              0.0004952,              0.0004952
                     78,                0.27397,                0.25334,                0.82368,                0.99974,                      1,                  0.995,                0.98695,                0.22982,                0.20009,                0.78536,              0.0004754,              0.0004754,              0.0004754
                     79,                0.26681,                0.25669,                0.83372,                0.99965,                      1,                  0.995,                0.98633,                0.21605,                0.20385,                0.78203,              0.0004556,              0.0004556,              0.0004556
                     80,                0.27525,                0.24882,                0.81728,                0.99942,                      1,                  0.995,                0.98538,                0.21228,                0.19935,                0.78159,              0.0004358,              0.0004358,              0.0004358
                     81,                0.25825,                0.24712,                0.82477,                0.99938,                      1,                  0.995,                 0.9836,                0.21894,                 0.1995,                0.78194,               0.000416,               0.000416,               0.000416
                     82,                0.24845,                0.24775,                0.83728,                0.99937,                      1,                  0.995,                0.98396,                0.22742,                 0.2012,                0.78204,              0.0003962,              0.0003962,              0.0003962
                     83,                0.24579,                0.23108,                0.81598,                0.99942,                      1,                  0.995,                0.98361,                0.22466,                0.20034,                0.78261,              0.0003764,              0.0003764,              0.0003764
                     84,                0.25524,                0.24251,                 0.8259,                 0.9996,                      1,                  0.995,                0.97609,                0.22848,                0.20172,                0.78321,              0.0003566,              0.0003566,              0.0003566
                     85,                0.25154,                0.24019,                0.84796,                0.99964,                      1,                  0.995,                0.98553,                0.21365,                0.19424,                0.78048,              0.0003368,              0.0003368,              0.0003368
